ip and abnormal proto, times
192.168.0.2_217.195.49.146_HTTP, 4
217.195.49.146_192.168.0.2_HTTP, 5
ip and abnormal proto, times
192.168.0.2_217.195.49.146_HTTP, 4
217.195.49.146_192.168.0.2_HTTP, 5
ip and abnormal proto, times
192.168.0.2_217.195.49.146_HTTP, 4
217.195.49.146_192.168.0.2_HTTP, 5
ip and abnormal proto, times
ip and abnormal proto, times
192.168.0.2_217.195.49.146_HTTP, 4
217.195.49.146_192.168.0.2_HTTP, 5
ip and abnormal proto, times
ip and abnormal proto, times
192.168.0.2_217.195.49.146_HTTP, 4
217.195.49.146_192.168.0.2_HTTP, 5
