ip, request_times, response_times, above_max_domain_length_times, above_max_lable_num_times, above_max_lable_limit_times, has_upper_character_times, response_txt_times
192.168.17.14, 47, 42, 4, 0, 0, 0, 0
ip, request_times, response_times, above_max_domain_length_times, above_max_lable_num_times, above_max_lable_limit_times, has_upper_character_times, response_txt_times
192.168.17.14, 47, 42, 4, 0, 0, 0, 0
ip, request_times, response_times, above_max_domain_length_times, above_max_lable_num_times, above_max_lable_limit_times, has_upper_character_times, response_txt_times
192.168.17.14, 47, 42, 4, 0, 0, 0, 0
ip, request_times, response_times, above_max_domain_length_times, above_max_lable_num_times, above_max_lable_limit_times, has_upper_character_times, response_txt_times
ip, request_times, response_times, above_max_domain_length_times, above_max_lable_num_times, above_max_lable_limit_times, has_upper_character_times, response_txt_times
192.168.17.14, 47, 42, 4, 0, 0, 0, 0
ip, request_times, response_times, above_max_domain_length_times, above_max_lable_num_times, above_max_lable_limit_times, has_upper_character_times, response_txt_times
ip, request_times, response_times, above_max_domain_length_times, above_max_lable_num_times, above_max_lable_limit_times, has_upper_character_times, response_txt_times
192.168.17.14, 47, 42, 4, 0, 0, 0, 0
